root_id,panel_id,source_class,source_scale,pump_capacity_scale,apical_pump_fraction,apical_k_fraction,ae4_cation_fraction,hydraulic_scale,hydraulic_mode,r2_member_id,r3_member_id,arm,solver_label,max_relative_state_difference,max_relative_flow_difference,max_relative_capacity_difference,r2_r3_isomorphism_gate_pass
N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1,N_ABS_NKCC,4.0,1.0,0.094586,0.2,0.05,1.0,H1,R2_G125_P21_PROSE_TFAST,R3_G125_P21_PROSE_TFAST,CCH_IPR,production_radau,6.156280338824881e-15,6.988649508026402e-15,1.249990865140756e-15,True
N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1,N_ABS_NKCC,4.0,1.0,0.094586,0.2,0.05,1.0,H1,R2_G125_P21_PROSE_TFAST,R3_G125_P21_PROSE_TFAST,CCH_IPR,production_bdf,5.0470727144806855e-15,1.1252126991890773e-14,5.346038885702218e-16,True
N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1,N_ABS_NKCC,4.0,1.0,0.094586,0.2,0.05,1.0,H1,R2_G125_P21_PROSE_TREFERENCE,R3_G125_P21_PROSE_TREFERENCE,CCH_ONLY,production_radau,0.0,0.0,0.0,True
N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1,N_ABS_NKCC,4.0,1.0,0.094586,0.2,0.05,1.0,H1,R2_G125_P21_PROSE_TREFERENCE,R3_G125_P21_PROSE_TREFERENCE,CCH_ONLY,production_bdf,0.0,0.0,0.0,True
N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1,N_ABS_NKCC,4.0,1.0,0.094586,0.2,0.05,1.0,H1,R2_G125_P21_PROSE_TREFERENCE,R3_G125_P21_PROSE_TREFERENCE,CCH_IPR,production_radau,1.5773910671503287e-15,4.685875647321915e-15,1.7846568923467718e-16,True
N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1,N_ABS_NKCC,4.0,1.0,0.094586,0.2,0.05,1.0,H1,R2_G125_P21_PROSE_TREFERENCE,R3_G125_P21_PROSE_TREFERENCE,CCH_IPR,production_bdf,3.5292352423374186e-13,1.6281208359022678e-14,1.4210854748537941e-15,True
N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1,N_ABS_NKCC,4.0,1.0,0.094586,0.2,0.05,1.0,H1,R2_G125_P21_PROSE_TSLOW,R3_G125_P21_PROSE_TSLOW,CCH_ONLY,production_radau,0.0,0.0,0.0,True
N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1,N_ABS_NKCC,4.0,1.0,0.094586,0.2,0.05,1.0,H1,R2_G125_P21_PROSE_TSLOW,R3_G125_P21_PROSE_TSLOW,CCH_ONLY,production_bdf,0.0,0.0,0.0,True
N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1,N_ABS_NKCC,4.0,1.0,0.094586,0.2,0.05,1.0,H1,R2_G125_P21_PROSE_TSLOW,R3_G125_P21_PROSE_TSLOW,CCH_IPR,production_radau,1.7035779695019197e-15,4.679926555091331e-15,2.16146888510123e-16,True
N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1,N_ABS_NKCC,4.0,1.0,0.094586,0.2,0.05,1.0,H1,R2_G125_P21_PROSE_TSLOW,R3_G125_P21_PROSE_TSLOW,CCH_IPR,production_bdf,4.247425403220573e-15,5.730426683803777e-14,1.87028478508417e-16,True
N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1,N_ABS_NKCC,4.0,1.0,0.094586,0.2,0.05,1.0,H1,R2_G170_P21_FIGURE_VISUAL_TFAST,R3_G170_P21_FIGURE_VISUAL_TFAST,CCH_ONLY,production_radau,0.0,0.0,0.0,True
N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1,N_ABS_NKCC,4.0,1.0,0.094586,0.2,0.05,1.0,H1,R2_G170_P21_FIGURE_VISUAL_TFAST,R3_G170_P21_FIGURE_VISUAL_TFAST,CCH_ONLY,production_bdf,0.0,0.0,0.0,True
